Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	File Size	SHA256
NPNA00120	US	Feed Me Oil	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00120_00_C00A1A61/1.00/NPNA00120_00.pkg	MISSING	UM0716-NPNA00120_00-0000000000000000		33664944	9fcb4f69880d698d3fb9a63c46e1a91de8dbe333e2befff547c3ef21fbee964e
NPNA00121	US	Hermit Crab In Space	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00121_00_68835DF3/1.00/NPNA00121_00.pkg	KO5ifR1dQ3IKmI1FnCQQ6mtgaGao6xfgB7TV0MgQ5H4DNDCY4oPHUGCJ+unNDb1LX/tvKE8+JRxWuSe+U+jrdFVP55CS+aLvvvzYbHQj3/NR2lqZkGzOH3K3fTn/Hn6aE1iR+VCyNa9h0dxFzXsW3RQ/nfbHnT9X1zZf635a7Tljze2HX01oTt29dklZSIt3ntKiB23Pet087jpflRT0u/T9QF0X23395wfjEx5u4w3O2r5UoqSgad2J7aW3I5aqpeaklLKIOjftCTwmsu1Ye6FHslB13eoTU696FopOTf54vsD52/pJPuc+M6RMsp1sOePn9qf3RPq2aGkedondGlT53lFYY5LYqwUeso6xAbmCGqIcS3auVTzGkePwLf+K3Oq9d+NlvBwcP9vY8q59dVwxhEmr153B+cf/rm/HUznZGhQimiJZ3+2aoLPfm2fXn1rfv5t+agl0cJtu2sEYx2/06XpL8SI5B6u6O+1fv2bv6CwUd7uzd07Q7VWVOTdLTq8W7vrMYjafh/PNMunyQ7m7xPb2tNpPy5wd9D9h9SzLZ8yHqy2KDFoE+aec3dK2ge/ri8PO8cuZ+TYdt0qXiuM47Z+zg0W6pumc1Het6N4Nz27+eh4UZPlzCc9PNVb5XP7cLK2by8zPf2Wd/fvdkt5Cno6Orznap+S3x4hs+vRdYaqT7T2HzBXJBTVGOVEbEgXDf2SqG7/qdVGKdLDb+X/i1g1P9RZYlN7d9nbmkwllip9PGgQlzJC6teKb/DY+hhEOAEMUBIsA	UM0161-NPNA00121_00-0000000000000000	2017-11-14 17:19:16	14598432	864fc5822ef2afb532dcb15f85e2be19bc4476748b4cbf580190bf60ae104ed6
NPNA00122	US	Attack Of The Mutants	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00122_00_F88A97B1/1.00/NPNA00122_00.pkg	MISSING	UM0183-NPNA00122_00-0000000000000000		13981712	208620b8d5fa7197f7f30a1c3c99dc5472615580d1ac634040623fecaab0e2c0
NPNA00123	US	Roll In The Hole	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00123_00_D5C2CAB1/1.00/NPNA00123_00.pkg	MISSING	UM0716-NPNA00123_00-0000000000000000		15976992	8b83e6883a17111313e48ba8d7e692c4144bbdfc9a936ffcfcb85c5190c5cf69
NPNA00124	US	Ten By Eight	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00124_00_C1372A5D/1.20/NPNA00124_00.pkg	KO5ifR1dQ3IKmI1FnCQQ6mtgaG6h6xfgB7TV0MgE5H4DNDCY4sPkF4eKlqptntOqw9a3pnOraPU83O/mlKyx6yPbSmHv1Ae2HrUiL1m6ed+5Mc9dxHby5MonVeeXFP19MaH895kpE7OiJrsWzHZLjT12tSf/lM+bou1ae46HXXoRl19+sMWyfv9O4dVPZforL/aIhF04ZsRkvjrx8MxKg07f1KK7ixh6b8XsbdK2/d/HzTXnyLOG4jD/q2m9s6Jt9s3mSe3h6jHVWrPgxJolj1rl7y/k+iBQHZE0JVCsPPvKc+v6XeyqkYtXqxj8nK3in2LDyNg5+cWinqKGSWrVv8RuLGCftNRCInfepmChKTUR1V8S1iqpN6VfO+e4Mnb/0fxgFt5jN+9mSvmt0v99OefQFYUdJ1f7/OE5O2VryN7YN0Y1DLkzFthltry6cfna9voUC4Yt2TVyuXfXbm56u+iLmObS/tYrKkI82Z2JPxJmHpKMjgn8s7Pg9IKHfMmXFr29aXnpt6iBU/S1CZWlz+6aGH10UxA54Trx1787ouJC3zadnPDsnd9yB6Z17kYJzn9iby7OqmlwiEkUjv4YMT1myox5m1UuxDw+G3x0SfYp5W9tck8eR99Y4sCUc45/B+P8fzxin44vVr3HcvKr8ep1xhXnz55LkV2mOLsgP/SwxU0zfcPM3Wc7PxgU7JVietzyr5ItchvvH29hqXkKHLEhPg53b52sXXz78pPrbJG/ZBbvmeK35PJrzZKvirOUPnxnGOEAAPvzDBEA	UM0178-NPNA00124_00-0000000000000000	2018-11-05 19:57:22	41128880	a2052e4f490a51c53332a8f73eaf00a1fd81ae5ff1d1995902ef7eb53590beb5
NPNA00125	US	iBomber Defense	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00125_00_EE0FDEFC/1.00/NPNA00125_00.pkg	MISSING	UM0716-NPNA00125_00-0000000000000000		294451152	2ff5c979e712b5997491185bc52ec981c878f495ecab07f4f3e64730fbaba802
NPNA00126	US	Little Acorns	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00126_00_F59B8BF9/1.00/NPNA00126_00.pkg	MISSING	UM0716-NPNA00126_00-0000000000000000		29170160	eaa1312efb58d39435973e7d392d62251537bf57a13eb1c76f7ea91fcfca3b71
NPNA00127	US	AikTheBarbarian	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00127_00_6D7FA0DF/1.00/NPNA00127_00.pkg	MISSING	UM1406-NPNA00127_00-0000000000000000		7176032	294d8d1f95ce2bed88340fb55d6edde3e080d8bc0a32ea59f733afe43af2e277
NPNA00128	US	Magic Planet Snack Deluxe	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00128_00_25461D0A/1.01/NPNA00128_00.pkg	KO5ifR1dQ3IKmI1FnCQQ6mtgaG6m6xfgB7TV0MgC5H4DNDCY4mPTKbt3X4QKHjDYJUnfFZ/kGt10d9qFaftWJV+OCfk41yH7k9iyB/Gv8q/PmB9+mbd3W7ug6bSQcJvJht0TFSZlsiqV9i+b7+PVe/n33JL0qTEnQxcd7Vm3Q4FxVZmxxruuGPemnRsNzjnaL6q6IfOYkW9zRiBPZa/gUg2O85erzCtPajpdOZfw+7KQo7XnMuW0Pa5SFioZYpOLHl7dy7+A5x/v5cs31rC3R/w0arBQvPLw1hnvWnVL23sKC4zCtJnaXufJvTdR0EvS9sk1rAj567TeL6NPrnrpyyPRxuIrnVxOqrQytBrmHZq6125T2TIJK8fpD5Lb/ddMLKywFQ1578pw//7E1bxLf1t8U5uwuerhxO/bF+21P3645r+f7ikjuYf/D5xtWDhLvePybveJxzT35VivVLH+efUUZ/ydf3aTPfLSVms+XNXCbbqahXmWh7Ni4rp1qtcuxlgUmVcZHtzuu2XR5ydhrW7cnReY9pxZuj7xAUvH+XXaDOWOHvsSdYTkmH8smNG/x+/02z/nbJc0VvY6/HdaNX9dEWeCwvqVbyu6BBKyzvFe3rj7lV+Th6j6rcD8tZuDQtOeXndM5Xc+sdNAwUYl7ay/cbFWps8Sq0dTDA+Yy1xR/qMyO3+3z+Ep2tEa1pVzedS/crNdyN6aqMGncb+sIGed9c6E7U9+LM5/tipFJTc7M7Lrwd9LjsXt8s9u79/9hmGEAwDvJQMB	UM0176-NPNA00128_00-0000000000000000	2017-11-17 19:25:16	14596928	c4a61bd06be0c77387f6429198331befeb53e440ac98f1d622d9d132b79b799b
NPNA00129	US	AikCommando	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00129_00_0DBCBE7B/1.00/NPNA00129_00.pkg	MISSING	UM1406-NPNA00129_00-0000000000000000		5607760	21cc093a5bbbbb1cea3d17286e6ed95c42bf6120245e89f5f6056400a6eaf9bf
NPNA00130	US	AnimalCrush	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00130_00_B7701100/1.00/NPNA00130_00.pkg	MISSING	UM1406-NPNA00130_00-0000000000000000		4373120	836d0f4899bf0786d76122b3749ac555e83e820c6287517b73a58559de41415d
NPNA00131	US	AlienMission	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00131_00_B7980DA1/1.00/NPNA00131_00.pkg	MISSING	UM1406-NPNA00131_00-0000000000000000		6790576	fae0cc8c3fe666f8eabb1f58860bfa911089b1f6b139f90129251549b36e830f
NPNA00132	US	Apocalypse Revelations	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00132_00_A50926B7/1.00/NPNA00132_00.pkg	MISSING	UM1406-NPNA00132_00-0000000000000000		6504000	7c0a4ece995d54781330a65b79fc4d52f5936640f6e983f5208d64a04dcca8dc
NPNA00133	US	Athenian Warrior	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00133_00_FC557A84/1.00/NPNA00133_00.pkg	MISSING	UM1406-NPNA00133_00-0000000000000000		5390352	44515acafc556e051f153f3886ddada28fadd6d24f16ae0e3b17579c74278f0d
NPNA00134	US	Attack Of The Black Widow	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00134_00_AE06B921/1.00/NPNA00134_00.pkg	MISSING	UM1406-NPNA00134_00-0000000000000000		6835328	6b9f623e9540640bdd90ef51d299c31e9764785ad9064271945c8a13f3628bb6
NPNA00135	US	Alligator Of The Caribbean	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00135_00_6D20E70B/1.00/NPNA00135_00.pkg	MISSING	UM1406-NPNA00135_00-0000000000000000		6316016	4e11c11570799c852e614c92a3ce75cf97fc2d30a6168cab709c32b3015a8a8a
NPNA00136	US	Alien Domination	http://zeus.dl.playstation.net/psm/np/NPNA/NPNA00136_00_43F97A4A/1.00/NPNA00136_00.pkg	MISSING	UM1406-NPNA00136_00-0000000000000000		6564416	6809d7ececbe1c4664f1cbf3849ae18abcee823b87de17e810e15bbef56afd0d
