Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPJH50832	JP	GOD EATER 2 PSP® the Best	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50832/NPJH50832_T5/2c6a1639396ec518/JP0700-NPJH50832_00-GAMEUPDATE000001-A0140-V0100-PE.pkg	JP0700-NPJH50832_00-GAMEUPDATE000001		NOT REQUIRED		413921184	ca1b9a39be5aa22ccd8296c994b6810d5ce8e6040d3554783c16fb7d4462e399
NPJH50863	JP	大正メビウスライン PORTABLE	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50863/NPJH50863_T0/f2ae6008e8596ec5/JP0746-NPJH50863_00-MEBIUSUPDATE0001-A0101-V0100-PE.pkg	JP0746-NPJH50863_00-MEBIUSUPDATE0001		NOT REQUIRED		3393168	ce3958b14e1525f8b68224d04df28c546e20f83095b1fce5dde3bc7bd625ed37
NPJH50878	JP	討鬼伝 極（PSP®版）	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50878/NPJH50878_T7/47604586e4f554f8/JP0106-NPJH50878_00-PKGTOUKIDEN00107-A0107-V0100-PE.pkg	JP0106-NPJH50878_00-PKGTOUKIDEN00107		NOT REQUIRED		36271408	d935c7a14337e572c63ca8c4f1909c4756a46d96f81bce183381accae6bedce7
NPJH50890	JP	プリPia ～プリンスPiaキャロット～	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH50890/NPJH50890_T0/3116e8ef25bae999/JP0746-NPJH50890_00-GAMEUPDATE000000-A0101-V0100-PE.pkg	JP0746-NPJH50890_00-GAMEUPDATE000000		NOT REQUIRED		2467424	01f44067615f116f9a1693bca22bf72c8a4a2490dc16bda9c0d31df5aa9d18c2
NPJH90335	JP	討鬼伝 体験版	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH90335/NPJH90335_T2/e0357886dce76d88/JP0106-NPJH90335_00-PKGTOUKIDEN00103-A0103-V0100-PE.pkg	JP0106-NPJH90335_00-PKGTOUKIDEN00103		NOT REQUIRED		4653776	261ebed9bfaf2371c695b3ebea514b9966ab3ff29198c3e200c88baa8079899a
NPJH90346	JP	討鬼伝 極 体験版	http://b0.ww.np.dl.playstation.net/tppkg/np/NPJH90346/NPJH90346_T0/f9f57832364f4022/JP0106-NPJH90346_00-PKGTOUKIDENDEMO1-A0101-V0100-PE.pkg	JP0106-NPJH90346_00-PKGTOUKIDENDEMO1		NOT REQUIRED		12976368	44efb5b572bb1638d1212b5df3d6beffe2dad89b594de2ebf5bd763ef76e6a86
UCES01242	EU	SOCOM: Fireteam Bravo 3	http://b0.ww.np.dl.playstation.net/tppkg/np/UCES01242/UCES01242_T10/d4412700182c6a07/EP9000-UCES01242_00-FIRETEAMBRAVO312-A0110-V0100-PE.pkg	EP9000-UCES01242_00-FIRETEAMBRAVO312		NOT REQUIRED		6843376	5539d80ff76147b4810de6efff5f81f709d531c417272d1d9c4d571c45f4d5fe
UCES01264	EU	LittleBigPlanet	http://b0.ww.np.dl.playstation.net/tppkg/np/UCES01264/UCES01264_T7/6c3cd34f62130ade/EP9000-UCES01264_00-LBPPDLCSONYPA005-A0205-V0100-PE.pkg	EP9000-UCES01264_00-LBPPDLCSONYPA005		NOT REQUIRED		37768464	63ced6b027302b72c240bc9db14bde02370b61198fa9823c66251be32ad793ab
ULES01230	EU	Blood Bowl	http://b0.ww.np.dl.playstation.net/tppkg/np/ULES01230/ULES01230_T0/f42cf836650e7f38/EP4133-ULES01230_00-GAMEUPDATE000001-A0201-V0100-PE.pkg	EP4133-ULES01230_00-GAMEUPDATE000001		NOT REQUIRED		12060224	0c42a90a28d13dcf1e40b334a98fd8da6f7792a65f44bdb098a159c66497e5d3
NPHG00024	ASIA	LocoRoco Midnight Carnival	http://b0.ww.np.dl.playstation.net/tppkg/np/NPHG00024/NPHG00024_T0/d27cf3e921339e84/HP9000-NPHG00024_00-LOCOROCOMCPTCH01-A0200-V0101-PE.pkg	HP9000-NPHG00024_00-LOCOROCOMCPTCH01		NOT REQUIRED		5867536	2392f832c4b07af21b5d1da485e59403c8c10b3507de61b717f722de3317420e
NPHG00032	ASIA	SOCOM: U.S. Navy SEALs Fireteam Bravo 3	http://b0.ww.np.dl.playstation.net/tppkg/np/NPHG00032/NPHG00032_T9/30c6778a463c9216/HP9000-NPHG00032_00-FIRETEAMBRAVO312-A0110-V0100-PE.pkg	HP9000-NPHG00032_00-FIRETEAMBRAVO312		NOT REQUIRED		6852416	170413fa2891f1496c6e7d94d7ba22825f965f3533587d25bd0e67c3a49afd96
NPHH00338	ASIA	Professional Baseball Spirits 2012	http://b0.ww.np.dl.playstation.net/tppkg/np/NPHH00338/NPHH00338_T0/143433fe27adeed7/HP0101-NPHH00338_00-PROSPI2012UPDATE-A0101-V0101-PE.pkg	HP0101-NPHH00338_00-PROSPI2012UPDATE		NOT REQUIRED		12128976	6eb9f67a2f94c0ea672e771e5755ed9fcb766af7cfe6e602bd190cd057b42629
UCAS40262	ASIA	小小大星球 攜帶版 更新資料 ver. 2.05	http://zeus.dl.playstation.net/cdn/HP9000/UCAS40262_00/AcvyJDoLor4VoSopROOVudvn7i34N36Q2SO7UpImCNjBc18XckTau4ugkHh9V2srA8U3jpVD3g74DEGKssXRa7H7eCmq8lNnNtMgi.pkg	HP9000-UCAS40262_00-LBPPDLCSONYPA005	2019-07-17 20:22:08			39412032	
ULJS00237	JP	GOD EATER(ゴッドイーター) ゲームアップデートデータ	http://zeus.dl.playstation.net/cdn/JP0700/ULJS00237_00/CQrp6Apc11DD18xAmCro9uL3KVbQ1DBxU5A4rQCLIvYPcUekC0lGWXOq5y9pmSEbmJ9Dh4K34PThFnmjehukYXxXwhAD6kw10QXRc.pkg	JP0700-ULJS00237_00-GAMEUPDATE000001	2021-04-18 05:46:46			3602640	
